UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,OBJECTID,UUID_2,DATUM_AE_1,DATUM_ER_1,HERKUNFT_2,HERKUNFT_1,OBJEKTART_,BFS_NUMMER,BEZIRKSNUM,KANTONSNUM,NAME_2,GEM_TEIL,GEM_FLAECH,SEE_FLAECH,ICC,SHN,EINWOHNERZ,landesgebe,landesge_1,landesge_2,landesge_3,landesge_4,landesge_5,landesge_6,landesge_7,landesge_8,neighbs,layer,path,slug,area
{0D638536-5B1C-4183-B99E-21D311C9C481},2018/03/19,2014/06/27,2013,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,9112,4631EE61-8202-4217-A0F1-CC8AFEE13211,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,261,CH01120000,CH01000000,Zürich,0,9188.000000000000000,395.000000000000000,CH,CH01120261,402762,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"261, 9051,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,zurichsee-feldeggstr-banningersand,110556.620
{3B9388D1-5A7B-4610-BB38-8B9DBEEB6394},2014/05/26,2011/06/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,17083,5512B7F8-7A59-41D3-847C-4AD198CF4D07,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5648,CH22290000,CH22000000,Saint-Sulpice (VD),0,186.000000000000000,-29998.000000000000000,CH,CH22295648,4148,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5648, 5632",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,tiger-duck-beach,8092.770
{D1140257-1170-42F6-8B96-C19A962A0E87},2018/01/17,2013/08/06,2010,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,9112,4631EE61-8202-4217-A0F1-CC8AFEE13211,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,261,CH01120000,CH01000000,Zürich,0,9188.000000000000000,395.000000000000000,CH,CH01120261,402762,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"261, 9051,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,zurichsee_wollishofen_langendorfm,90092.105
{EA6B823A-AEBA-4485-AD20-E395B93CE196},2016/08/29,2016/08/29,2016,8,2018,6,verbessert,3D-GebCH_T2016,2014,6,Gebaeude,2018_Aufbau,,,,14479,903A217C-D880-4665-8D9B-38718193F05F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,2601,CH11090000,CH11000000,Solothurn,0,628.000000000000000,-29998.000000000000000,CH,CH11092601,16697,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"2601, 2542",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,aare_solothurn_nguyena,25776.507
{3BAD3903-2FCD-48A3-85FE-D8320A5ABFA3},2016/08/29,2016/08/29,2016,8,2018,6,verbessert,3D-GebCH_T2016,2014,6,Gebaeude,2018_Aufbau,,,,14479,903A217C-D880-4665-8D9B-38718193F05F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,2601,CH11090000,CH11000000,Solothurn,0,628.000000000000000,-29998.000000000000000,CH,CH11092601,16697,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"2601, 2542",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,aare-solothurn-lido-strand,7841.478
{A85441B0-DB87-4FA1-A057-79E555270492},2017/10/04,2013/10/22,2011,6,2018,6,verbessert,swisstopo,2014,6,Hochkamin,2018_Aufbau,,,,15565,08CA401E-1014-4B43-86E0-F55DB57F06F1,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,2534,CH11060000,CH11000000,Zuchwil,0,463.000000000000000,-29998.000000000000000,CH,CH11062534,8842,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"2534, 2527",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,emme_luterbach_huggenbergerk,38863.918
{57D91FFB-1739-4DA7-8B0E-7C2B3D6A6D03},2018/07/10,2013/08/07,2010,7,2016,6,verbessert,swisstopo,2016,6,Sakrales Gebaeude,1412_Aufbau,,,,12032,E0599271-2CB3-4AB1-BE0C-80B68E323355,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,154,CH01070000,CH01000000,Küsnacht (ZH),0,1236.000000000000000,-29998.000000000000000,CH,CH01070154,14192,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"154, 152,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,kusnachter-dorfbach-tobelweg-1-4,114968.502
{C8F5D7A2-D0EA-4A2C-AB17-A337B39BCC74},2019/10/07,2011/05/03,2010,4,2018,6,verbessert,swisstopo,2018,6,Gebaeude,2017_Aufbau,,,,11117,944A2362-70A2-4FE2-96B9-786A16DD510F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,768,CH02490000,CH02000000,Spiez,0,1672.000000000000000,2.000000000000000,CH,CH02490768,12713,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"768, 767,",thun_communes,/home/mwshovel/dev/analyst/jan12/munis/thun_communes.shp|layername=thun_communes,augustmutzenbergstrandweg,67577.292
{3B9388D1-5A7B-4610-BB38-8B9DBEEB6394},2014/05/26,2011/06/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,17083,5512B7F8-7A59-41D3-847C-4AD198CF4D07,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5648,CH22290000,CH22000000,Saint-Sulpice (VD),0,186.000000000000000,-29998.000000000000000,CH,CH22295648,4148,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5648, 5632",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,plage-de-dorigny,7089.828
{5EEC1D8A-1878-4EFB-9639-546302E1D9CA},2018/03/12,2014/06/27,2013,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,9112,4631EE61-8202-4217-A0F1-CC8AFEE13211,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,261,CH01120000,CH01000000,Zürich,0,9188.000000000000000,395.000000000000000,CH,CH01120261,402762,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"261, 9051,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,sihl_zuerich_scherfs,286630.004
{C82847F0-4AD6-424A-8B4C-2FEBEF083BE4},2016/02/25,2010/05/04,2009,6,2015,6,verbessert,swisstopo,2015,6,Gebaeude,2016_Aufbau,{022CD9F9-1FCB-4B6E-A103-499D0CF8D6B3},Restaurant la Pêcherie,Gasthof abgelegen,16766,75D66BF4-9093-481D-BBEB-6AE4FC37ACAA,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5851,CH22270000,CH22000000,Allaman,0,260.000000000000000,-29998.000000000000000,CH,CH22275851,435,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5851, 5623",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,la-pecherie,4280.194
{B12412FC-65DF-4637-9A2B-6813CF955741},2014/12/12,2011/07/14,2010,4,2017,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,12312,3D9EF22B-1227-43DC-B343-C7901ED0C14C,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,6113,CH23060000,CH23000000,Salgesch,0,1136.000000000000000,-29998.000000000000000,CH,CH23066113,1470,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"6113, 6241",rhone_communes,/home/mwshovel/dev/analyst/jan12/munis/rhone_communes.shp|layername=rhone_communes,tschilljus,4688.179
{FE6CE48A-0ABB-4F6F-8ABE-10C421EB40DD},2014/07/28,2014/07/22,2014,7,2013,6,verbessert,swisstopo,2013,6,Gebaeude,1412_Aufbau,,,,10493,0E97CAED-7E39-4B82-8C24-9635AB99237B,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,3340,CH17260000,CH17000000,Rapperswil-Jona,0,3137.000000000000000,912.000000000000000,CH,CH17263340,26962,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"3340, 153,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,strandbeiz,6183.705
{6CB07BB9-E860-4D2D-A34A-87FF6A58A81B},2014/09/29,2011/06/07,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,12755,875ABC4E-87B8-432D-BFAA-E43CC00A76BA,2019/12/04,2012/01/16,TLM,2019,Gemeindegebiet,5613,CH22260000,CH22000000,Bourg-en-Lavaux,0,965.000000000000000,1.000000000000000,CH,CH22265613,5290,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5613, 5606",leman_communes,/home/mwshovel/dev/analyst/jan12/munis/leman_communes.shp|layername=leman_communes,cully-plage,11343.652
{AE05F59A-20A2-401C-B2A6-13126BED2304},2018/03/20,2014/06/27,2013,6,2016,6,verbessert,swisstopo,2016,6,Gebaeude,1412_Aufbau,,,,9112,4631EE61-8202-4217-A0F1-CC8AFEE13211,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,261,CH01120000,CH01000000,Zürich,0,9188.000000000000000,395.000000000000000,CH,CH01120261,402762,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"261, 9051,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,zuerichsee_zurich_kullg,59099.839
{30C4B6CF-79DF-4389-8C56-3D4A05D18FC9},2013/09/03,2012/10/30,2012,3,2012,3,verbessert,swisstopo,2012,3,Gebaeude,1312_Aufbau,,,,12095,8C92E7C4-5B20-42BB-97AD-22511FB82560,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,4282,CH19100000,CH19000000,Rothrist,0,1185.000000000000000,-29998.000000000000000,CH,CH19104282,8853,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"4282, 2581",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,pfaffner_rothrist_ischik,39633.144
{14BE09C7-8944-4182-BA0F-573036F09630},2015/12/09,2015/12/09,2015,12,2018,6,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2018_Aufbau,,,,13680,FDE25683-EE18-4D3B-99F7-120403B3FD65,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,494,CH02430000,CH02000000,Gals,0,784.000000000000000,-29998.000000000000000,CH,CH02430494,793,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"494, 6461,",bielersee_communes,/home/mwshovel/dev/analyst/jan12/munis/bielersee_communes.shp|layername=bielersee_communes,gals-reserve,2477.456
{50A755B6-9ADD-4076-9EBC-3035556D3EEA},2013/07/30,2013/07/30,2012,3,2019,6,verbessert,swisstopo,2012,3,Sakrales Gebaeude,2018_Aufbau,{63DB7547-8633-402E-A88F-DC739F2D8932},San Quirico,,14712,740A0BF9-2A18-4128-BEF1-DEDBF1B72A09,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,5118,CH21040000,CH21000000,Minusio,0,883.000000000000000,297.000000000000000,CH,CH21045118,7268,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5118, 5096",maggio_communes,/home/mwshovel/dev/analyst/jan12/munis/maggio_communes.shp|layername=maggio_communes,rivapiana,82224.479
{A33F39B7-20B2-4093-A212-63BA6DEB13B8},2015/02/09,2014/12/15,2014,12,2013,6,verbessert,swisstopo,2013,6,Gebaeude,2015_Aufbau,,,,9737,AA276C39-AD4F-4000-BDC1-152969AD1383,2019/12/04,2018/10/30,TLM,2019,Gemeindegebiet,293,CH01060000,CH01000000,Wädenswil,0,3564.000000000000000,-29998.000000000000000,CH,CH01060293,24536,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"293, 295,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,sihl_menzingen_kucharska_magdalena,1507.081
{3C691FF8-A6AB-4F9C-93D1-6D2D95456EFB},2013/09/02,2013/09/02,2010,6,2013,6,verbessert,swisstopo,2010,6,Lagertank,1412_Aufbau,,,,13769,600C8140-A103-4A7A-8812-A7E447D70C9F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,138,CH01060000,CH01000000,Richterswil,0,753.000000000000000,-29998.000000000000000,CH,CH01060138,13352,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"138, 1323",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,zuerichsee_richterswil_benkoem_2,11981.444
{AC51F227-7A17-4D6A-BA9D-C1E2D9B6F79C},2016/02/03,2016/02/03,2016,2,2018,6,verbessert,3D-GebCH_T2016,2015,6,Gebaeude,2018_Aufbau,,,,17204,FC427BE5-E5B7-448D-918E-9B606953E69F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,743,CH02420000,CH02000000,Nidau,0,152.000000000000000,-29998.000000000000000,CH,CH02420743,6891,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,743,bielersee_communes,/home/mwshovel/dev/analyst/jan12/munis/bielersee_communes.shp|layername=bielersee_communes,nidau-strand,43385.083
{A5373D6D-6EA4-4C7F-97EF-4A07355222ED},2014/08/07,2014/07/21,2014,7,2014,6,verbessert,swisstopo,2013,6,Gebaeude,1412_Aufbau,,,,15882,2FA16F05-DCDC-43AC-8075-3306EAFB3F7F,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,3338,CH17260000,CH17000000,Schmerikon,0,598.000000000000000,184.000000000000000,CH,CH17263338,3738,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,3338,zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,aabach,3306.423
{2A52C20F-E59F-4650-9213-00131F5E5CF5},2018/03/21,2013/07/18,2010,6,2016,6,verbessert,swisstopo,2016,6,Kapelle,1412_Aufbau,,,,9112,4631EE61-8202-4217-A0F1-CC8AFEE13211,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,261,CH01120000,CH01000000,Zürich,0,9188.000000000000000,395.000000000000000,CH,CH01120261,402762,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"261, 9051,",zurichsee_communes,/home/mwshovel/dev/analyst/jan12/munis/zurichsee_communes.shp|layername=zurichsee_communes,sihl_zuerich_eggerskoehlingera,224540.709
{5E00C145-2015-450E-9394-A47C90D4409F},2014/09/25,2011/02/14,2010,3,2016,6,verbessert,swisstopo,2013,6,Offenes Gebaeude,2016_Aufbau,,,,9403,C5297C90-1B32-4B1D-A881-FB8DE3BE7288,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,355,CH02460000,CH02000000,Köniz,0,5101.000000000000000,-29998.000000000000000,CH,CH02460355,40938,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"355, 855,",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,aare_elfenau_cataldiv,48727.310
{5E00C145-2015-450E-9394-A47C90D4409F},2014/09/25,2011/02/14,2010,3,2016,6,verbessert,swisstopo,2013,6,Offenes Gebaeude,2016_Aufbau,,,,9403,C5297C90-1B32-4B1D-A881-FB8DE3BE7288,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,355,CH02460000,CH02000000,Köniz,0,5101.000000000000000,-29998.000000000000000,CH,CH02460355,40938,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"355, 855,",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,aare_koniz_hoppej,36877.794
{7C5C4A60-4D74-49E4-A726-3F3560F73F25},2015/09/17,2009/09/01,2008,8,2014,6,verbessert,swisstopo,2014,6,Gebaeude,2015_Aufbau,,,,15084,9544D395-D2BC-46FC-8110-6B6B393655E3,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,3316,CH17260000,CH17000000,Weesen,0,575.000000000000000,35.000000000000000,CH,CH17263316,1635,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"3316, 9268",walensee_communes,/home/mwshovel/dev/analyst/jan12/munis/walensee_communes.shp|layername=walensee_communes,flibach-river-right-bank,28800.659
{4DD252E2-F358-4841-8F62-2B8535B2E7C3},2016/07/19,2009/02/19,2005,6,2018,6,verbessert,swisstopo,2015,6,Gebaeude,2018_Aufbau,,,,13172,F0AD97D4-4B2C-4FEA-965D-A726FF27B1E1,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,6459,N/A,CH24000000,Saint-Blaise,0,890.000000000000000,4.000000000000000,CH,CH24006459,3232,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"6459, 6452",neuch_communes,/home/mwshovel/dev/analyst/jan12/munis/neuch_communes.shp|layername=neuch_communes,hauterive-petite-plage,51722.820
{B07DF457-5FAE-455D-8B7C-B6DD188E5912},2015/01/13,2011/01/31,2010,3,2016,6,verbessert,swisstopo,2013,6,Offenes Gebaeude,2016_Aufbau,,,,9395,C9307603-09CE-44B9-ADFB-DDD371298073,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,351,CH02460000,CH02000000,Bern,0,5162.000000000000000,-29998.000000000000000,CH,CH02460351,133115,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"351, 355,",aare_communes,/home/mwshovel/dev/analyst/jan12/munis/aare_communes.shp|layername=aare_communes,aare_bern_scheurerk,72350.673
{386992B7-40A1-465D-90D4-6D96C5D8D1CE},2014/03/03,2009/11/24,2009,4,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,9384,830EFFEB-9FFA-465C-A896-AE6FAA35728B,2019/12/04,2011/04/13,TLM,2019,Gemeindegebiet,5398,CH21040000,CH21000000,Gambarogno,0,6539.000000000000000,1360.000000000000000,CH,CH21045398,5154,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"5398, 9711",maggio_communes,/home/mwshovel/dev/analyst/jan12/munis/maggio_communes.shp|layername=maggio_communes,gerra-gambarogno,32539.879
{F52288D8-FFD0-4FE7-B017-55903659C3B4},2014/01/22,2009/08/10,2008,8,2014,6,verbessert,swisstopo,2011,6,Offenes Gebaeude,2015_Aufbau,,,,9494,9909CF0C-B906-4E70-ADC9-20B3A574DA99,2019/12/04,2009/03/25,TLM,2019,Gemeindegebiet,3298,CH17250000,CH17000000,Walenstadt,0,4884.000000000000000,316.000000000000000,CH,CH17253298,5590,17,ABC10C09-F0B8-4218-AC02-E7587EA24846,2013/07/15,Land,CH,41291.739999999997963,Schweiz#Suisse#Svizzera#Svizra,8544527,41291737423.214187622070312,"3298, 3276",walensee_communes,/home/mwshovel/dev/analyst/jan12/munis/walensee_communes.shp|layername=walensee_communes,seez_spennwiesenbrucke,10060.996
